1024 768
Timestamp Fix_x Fix_y
1083 369 482
1684 388 546
1856 359 589
2264 337 684
3212 340 854
3576 380 433
3850 389 308
4240 388 358
4548 386 537
5200 434 698
5679 395 790
5995 402 848
6338 429 862
7272 414 436
7532 411 497
8185 428 800
9246 424 849
9696 388 556
10044 393 351
10450 396 825
11209 389 614
11723 405 815
12591 357 844
12883 380 492
13935 382 843
14454 376 743
15132 391 796
15758 405 798
17322 396 788
17715 420 695
18108 414 752
18305 434 787
19240 393 765
19497 402 727
19847 385 537
20403 397 722
20595 419 771
21242 366 327
21496 383 831
21753 327 842
22818 309 860
24045 379 296
24658 373 368
26127 335 791
26763 364 810
27783 389 729
28540 376 738
29407 426 755
29847 397 643
30131 427 707
30757 428 729
31226 419 679
31445 414 717
31663 404 755
32135 381 285
32362 381 776
32809 373 741
33177 385 554
33712 382 716
34677 362 402
35011 335 702
35629 393 703
36069 383 600
36475 397 687
37386 411 662
38505 413 608
38926 398 649
39967 407 629
40616 404 722
40975 382 678
41743 392 606
42112 406 642
42456 392 593
42866 400 625
43407 355 700
43845 372 312
44150 320 714
44779 351 707
45093 386 730
46291 353 331
46676 360 651
46856 332 711
48706 348 734
49249 350 436
50048 364 692
50332 339 746
50579 362 759
51997 351 382
52958 324 775
53176 330 727
53451 364 738
54219 359 606
54436 363 700
55298 369 702
55546 384 729
57031 381 427
57576 403 736
59560 373 718
60919 331 735
62113 368 718
62584 379 703
64747 405 722
65530 361 677
65908 344 713
66473 358 313
66814 329 718
67208 347 474
67811 329 722
68425 365 688
68713 402 709
69736 412 708
70423 404 729
71201 364 631
71395 352 672
71589 302 692
72014 337 715
72804 308 690
72977 334 683
74024 408 679
74826 400 618
75244 337 700
75819 353 402
76040 387 667
76484 404 646
78074 354 649
78612 296 674
78928 347 569
79277 358 681
79958 368 617
80775 365 591
81102 366 646
81856 358 637
82344 354 598
82729 365 636
82987 398 657
83410 352 624
83633 406 592
83891 372 369
84086 421 589
84442 398 617
84700 383 590
85999 329 608
86790 325 667
87113 323 640
87927 353 603
88124 373 576
88319 327 586
89908 356 386
90465 376 587
90857 379 537
91342 374 575
91638 409 562
93341 351 542
93998 332 433
94543 317 530
95094 308 585
95411 337 381
95632 356 331
95973 352 385
96400 316 535
97133 343 395
97399 327 480
98124 373 516
99139 337 484
99618 365 487
100068 348 380
100514 330 445
101081 411 454
101723 407 428
102010 427 459
102743 384 435
103146 385 396
104138 422 437
104586 393 402
105205 422 441
105711 412 354
106464 408 303
107833 396 187
108247 397 317
108656 391 175
109460 391 362
110200 439 604
112339 396 553
112636 371 399
113079 388 567
114121 401 838
114887 377 835
115145 401 858
115583 383 308
115999 398 907
116224 385 840
116487 394 458
116884 399 864
117993 383 830
118617 370 287
119037 368 354
119623 319 452
120786 370 898
121420 377 913
121748 349 837
122280 393 347
122870 386 432
123511 340 662
123880 362 844
124113 375 878
124767 378 274
125127 439 849
125932 447 760
126490 442 813
127616 408 867
127878 361 523
128208 377 317
128605 382 858
128836 386 444
129364 412 798
129801 409 846
130925 378 855
131284 368 343
131511 368 380
131869 410 788
132655 381 663
132943 414 812
133791 427 777
135345 434 808
135861 370 866
137093 331 766
139320 380 492
139968 385 532
141335 393 753
141688 369 823
142692 383 384
143875 383 780
144325 379 823
145780 372 696
146099 365 583
146454 372 648
146748 372 813
147489 409 842
147853 393 795
149157 365 446
152015 403 862
152339 372 602
152790 406 780
153637 399 836
154137 372 847
155962 360 726
156578 378 824
156901 405 844
157438 395 530
157800 404 862
158353 399 482
158613 407 536
159005 395 843
159634 422 810
160035 385 834
160767 346 832
161286 387 806
161480 397 759
162463 410 810
162923 345 826
163216 356 355
163898 424 783
164094 370 814
164905 408 757
166477 405 670
167025 414 670
168023 409 782
168831 347 803
169468 359 480
172176 360 408
172362 359 449
173971 352 839
175100 315 839
175602 355 511
176049 343 664
176573 316 843
177473 358 355
178089 373 783
178418 374 737
178615 365 661
179084 378 746
179699 399 704
181207 393 747
181733 334 795
181967 340 342
182249 340 380
182472 318 719
182943 333 765
183553 341 711
185643 350 555
186630 336 762
186852 323 728
187837 398 655
188616 301 744
190219 377 684
190557 375 592
192582 344 715
193833 330 685
194757 398 681
195473 366 667
195784 401 634
196503 366 654
196784 353 612
197526 362 647
199721 385 618
201602 325 646
203552 366 403
204240 375 674
204997 379 712
206245 370 397
206686 369 448
207141 400 600
207666 357 707
208350 358 291
208727 363 331
208977 321 461
210116 328 674
210625 306 726
211587 377 717
212418 393 703
212809 431 727
213099 401 718
213609 417 751
214698 413 761
215947 370 230
216319 368 285
216534 368 343
216857 363 417
217023 364 458
217293 348 700
219217 340 431
221004 339 795
221795 354 368
222423 394 737
222953 373 589
223489 404 790
227383 351 796
227725 346 563
228360 345 774
229782 395 822
230630 350 474
231008 348 528
232041 334 858
233557 328 454
234104 309 818
235685 339 855
237806 360 866
238158 326 830
239192 403 874
239695 386 822
240890 364 862
241839 360 384
242831 366 540
243157 363 600
243450 360 645
244193 377 886
245348 346 357
247039 344 826
248136 350 398
249231 349 593
249423 388 843
250367 381 842
250787 413 798
251047 375 360
251274 369 403
251499 392 790
253733 358 638
256454 302 722
256725 349 443
257673 300 791
258663 326 772
259321 360 380
259674 340 760
260031 341 743
260446 349 688
261314 343 731
261702 393 712
262294 393 833
262846 413 807
264040 372 400
264634 373 438
265095 411 666
265298 404 717
265534 400 752
265739 402 728
266241 408 584
266841 412 520
267376 441 649
267713 421 692
268116 433 653
268353 382 619
268589 334 697
270411 338 690
270633 350 323
271151 330 733
271453 383 663
271731 328 692
273241 366 612
274995 377 647
275275 370 420
275529 390 647
276605 389 607
277183 394 634
277509 361 594
277920 369 610
278513 372 525
279003 388 623
280186 355 449
280477 356 491
280735 367 610
281857 333 564
282362 322 634
283701 393 630
284320 379 585
284606 394 618
285873 390 524
286282 407 596
287868 336 584
289296 346 341
291287 379 438
292441 402 546
293112 390 512
293550 380 470
293992 409 525
294622 418 477
295050 389 431
295603 418 480
295904 394 328
296301 437 328
296916 414 342
297645 355 469
298106 376 416
298334 379 467
298763 357 493
299091 345 458
300115 351 497
300303 315 515
300811 338 363
301827 340 500
302448 357 451
303117 386 453
303482 372 403
305167 322 456
305850 346 397
306998 335 357
307690 329 398
307913 345 318
308716 355 279
309104 361 240
309547 374 311
309967 368 239
310305 374 281
310574 343 324
312407 524 1030
313397 380 264
313955 395 323
314814 438 579
315840 422 812
316293 406 863
316680 398 314
317741 371 633
318063 364 606
319354 371 885
320594 385 869
321061 376 714
321955 371 857
322226 402 878
323150 368 341
323915 386 890
324607 411 853
324935 394 862
326113 372 284
326359 367 329
326929 367 568
327863 379 798
328668 344 269
329328 340 823
329746 348 538
330341 360 701
331784 360 284
332439 355 782
333930 349 808
335249 407 645
335969 415 790
337025 359 232
338304 331 763
339865 372 354
340696 385 760
341633 429 769
342077 386 382
344328 378 774
345349 406 801
347713 380 375
348455 333 796
349366 331 808
350292 340 421
350643 326 724
351476 330 663
352493 345 766
352825 334 649
353573 335 741
355593 308 678
356010 346 431
356498 357 479
358277 305 589
358990 359 680
359189 390 689
360700 392 697
361448 406 746
361946 408 628
362174 364 330
362567 380 670
362899 379 506
363647 406 703
364469 394 625
365054 435 599
365576 428 649
366151 396 601
367608 402 638
369435 421 573
370664 389 617
370854 375 384
371075 375 431
371331 411 479
372107 384 622
373061 374 613
373352 400 427
374504 358 602
374895 359 265
375083 359 305
375701 366 472
376190 373 622
376488 353 587
376952 347 442
377889 376 560
379026 387 328
379586 399 558
379857 386 523
380058 387 555
380650 405 475
381392 396 517
382070 393 302
382403 409 461
382867 407 492
383101 399 462
383633 397 422
384133 415 425
384602 412 452
384872 373 457
385178 407 386
385722 359 458
386096 384 467
386364 338 482
387626 342 455
388610 325 516
389244 312 412
389786 340 412
390244 367 347
390755 363 393
391175 355 441
391495 390 494
391984 388 429
392754 362 467
393078 365 415
395151 397 392
395529 371 398
396586 371 295
396824 346 301
397101 356 222
398198 361 194
399165 329 396
401304 328 853
401747 378 465
402991 435 489
405171 407 839
405575 403 442
406265 402 799
407552 382 878
408041 381 420
408687 367 373
410675 370 840
411448 394 760
412607 374 906
412895 362 861
413429 363 790
414527 340 819
416098 395 837
417118 396 553
417870 358 353
418723 361 561
420142 365 241
420799 383 840
422205 395 891
423024 369 422
423484 321 782
423914 324 657
424282 317 596
424616 342 811
425026 366 825
425721 367 341
426511 352 759
426793 358 693
427260 397 805
427694 414 883
427962 390 836
428299 390 704
428563 382 303
428925 389 824
429978 392 874
430277 395 689
430913 395 850
431898 353 338
432432 352 458
432706 354 548
433153 404 775
433355 396 826
434272 392 862
434476 374 713
434714 402 753
435098 317 779
435736 395 780
436003 411 759
436341 380 800
437928 378 414
439075 353 833
440445 359 320
441350 359 558
442097 340 785
442435 337 826
442738 315 735
443543 362 813
443810 360 488
444414 402 780
444924 400 742
445264 364 799
445734 364 843
446299 345 405
446527 351 446
447027 348 597
447570 340 649
448870 348 381
449707 351 423
452061 361 329
453130 383 695
453597 397 805
454452 393 850
455008 430 842
456920 392 840
458365 407 769
460190 325 415
460562 302 841
461377 342 514
461985 293 816
462248 279 780
462602 302 841
463146 326 351
463614 329 857
464052 331 554
464688 339 822
465103 351 842
466439 356 819
466817 313 787
467124 305 702
467502 296 624
467849 332 790
468299 354 825
469067 363 827
469258 314 832
469601 347 841
470003 358 880
470251 349 860
470981 358 705
471658 336 827
472256 285 784
472753 282 748
474231 334 847
474762 309 793
475370 339 820
477017 326 415
477495 299 870
477840 345 801
478209 368 685
478518 355 804
478886 331 839
479203 352 807
480223 366 830
480478 326 561
481053 318 833
481903 316 781
482123 311 821
482460 341 863
483168 285 861
483731 274 765
484767 309 840
485078 338 861
485947 367 865
486344 327 507
486966 360 844
488334 369 777
488555 331 294
488900 330 863
489663 328 532
489975 351 701
490551 310 875
490864 324 816
492192 331 378
492443 334 418
492727 341 796
493006 348 654
493410 329 829
494591 296 844
494999 351 797
495645 344 524
495863 357 635
496525 342 799
496904 375 833
497666 305 839
498216 317 439
498462 323 481
499179 287 830
500148 306 813
500742 270 837
500930 331 830
501398 328 520
502278 297 766
502527 338 812
502886 358 839
503728 286 862
504170 356 827
504397 319 802
504746 327 688
505236 359 833
506248 339 508
506476 350 833
506756 287 851
507295 308 806
509537 305 385
509887 367 545
510237 374 832
510558 330 622
511148 328 799
511372 324 744
512125 362 827
512511 374 870
512960 389 690
513293 361 632
513488 362 684
513852 376 867
514511 321 320
514806 293 804
515130 317 746
515575 317 599
515902 283 709
516092 284 793
517126 269 736
517484 351 748
517968 328 647
518328 303 732
518828 299 758
519320 325 258
519681 361 787
520016 297 844
520457 387 853
521092 380 766
521910 372 838
522636 301 858
522841 361 741
523265 358 705
523764 348 649
524121 354 708
525048 381 710
525642 339 686
527452 295 700
527864 274 745
528219 288 686
528475 283 623
528827 292 758
529436 283 815
530005 323 412
530374 333 329
531034 285 807
531710 371 757
533228 373 834
533679 365 453
534424 404 603
534651 388 790
535363 384 844
536267 345 822
536521 337 425
537071 362 855
538853 334 872
539215 342 805
539581 304 880
539948 361 841
541561 310 851
542381 325 594
542709 335 428
542974 297 864
543269 281 631
543600 278 659
544091 297 877
545215 291 839
545478 321 378
545953 310 830
546401 315 699
546696 323 805
547617 305 818
548263 310 377
548828 299 464
549352 287 748
549748 346 818
550043 386 807
551352 321 778
552568 326 747
552938 356 749
553399 365 571
553833 384 786
554137 336 442
554571 341 490
554914 351 688
555201 381 827
556066 390 759
556679 367 714
557242 335 765
558388 378 718
558630 304 754
559302 328 410
559689 326 444
559930 282 733
560239 303 775
560489 273 801
560678 293 772
561056 297 805
562016 288 739
562266 333 765
562485 351 728
563144 365 747
563583 322 766
564300 369 720
565642 317 762
566199 330 314
566475 373 623
567013 363 708
567260 338 707
568409 326 750
569238 328 484
569855 303 741
571053 289 698
572084 375 711
573418 395 671
573832 395 715
574118 390 547
574471 383 646
574858 346 637
575308 338 436
575846 340 499
576447 348 642
577249 338 426
577476 299 603
577796 324 639
579428 280 645
579726 281 612
580090 283 653
580713 316 625
581100 324 468
581482 312 583
581944 360 578
582487 331 611
583098 346 586
583582 346 640
584267 297 645
584948 323 454
585398 316 641
585693 332 604
586056 355 622
586606 279 637
587214 372 606
588306 359 601
588663 343 441
589360 293 618
590200 333 549
590456 355 529
590999 365 574
591196 397 660
591860 375 612
592923 371 500
593211 374 544
593655 387 591
594085 365 563
594315 362 363
594832 377 496
595386 377 564
596109 367 474
596791 378 514
597931 358 423
598447 342 345
598883 289 541
599385 296 501
